Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Remoteness,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Males,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Males,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,3458,3045,2188,1008,869,313,115,122,11117
CtG7A.2,2016,People aged 15-24 years who are fully engaged in employment; education or training,15-24 years old,Females,Unknown Indigenous status,All areas,People counted in the Census,,Indigenous status not stated,Females,15-24 years old,Number of people,,ABS (unpublished) Census of Population and Housing,no.,3049,2637,2010,895,723,251,124,141,9822
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,15 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,94.3,93,91.7,88.8,91.6,93.3,100,76.7,91.5
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,16 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,85.2,89.2,82,78.1,83.3,88.7,87.4,66.8,82.6
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,17 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,73.1,79.8,73,67.7,73.1,83.5,76.1,44.5,71.4
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,18 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,54.9,63.6,47,40.2,47.9,58.1,68.1,23.6,49.3
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,19 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,48.9,52.3,41,36.7,38,44.1,62,20.2,42.9
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,20 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,20 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,50.5,53.1,43.5,36.6,36.4,45.2,68.3,17.7,43.8
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,21 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,21 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,48.2,56.3,44.6,38.1,42.5,45.2,66.3,19.3,44.4
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,22 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,22 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,47.6,52.5,44.8,39.2,43.3,51.2,75.7,21.1,44.6
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,23 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,23 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,49.5,56.6,45.9,39.2,38.7,50.9,73.7,26.4,46.2
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,24 years old,All people,Aboriginal and Torres Strait Islander people,All areas,Young people fully engaged in employment; education or training,,Aboriginal and Torres Strait Islander people,,24 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,49.1,53.2,45.5,41.8,43.5,47.8,71.9,25.8,45.9
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,15 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,15 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,98.4,98.3,97.6,98,97.8,96.9,98.5,97.4,98.1
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,16 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,16 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,96,97.1,94.4,95.9,96.6,96,97.6,94,96
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,17 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,17 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,91.4,94.1,91.2,93.3,92.3,91.8,94.1,90.7,92.4
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,18 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,18 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,79.2,83.3,71.9,71.6,74.4,75.3,82.7,70.4,77.6
CtG7A.3,2021,People aged 15-24 years who are fully engaged in employment; education or training,19 years old,All people,Non-Indigenous people,All areas,Young people fully engaged in employment; education or training,,Non-Indigenous people,,19 years old,Proportion of people,,ABS (unpublished) Census of Population and Housing,%,74.7,75.6,70.5,72.1,69.2,58.5,80.8,70.4,73.2
